year_month,complaints,timely_response_rate,narrative_share,rolling_complaints
2022-01-01,53229,0.9931991959270322,0.3672246331886753,
2022-02-01,53185,0.9931559650277334,0.4039860863025289,
2022-03-01,61896,0.9914857179785447,0.39196393951143854,
2022-04-01,72243,0.9922345417549105,0.4200545381559459,
2022-05-01,60376,0.9929276533722009,0.4105936133563005,
2022-06-01,61869,0.9935670529667523,0.4300538234010571,
2022-07-01,64438,0.9938545578695801,0.4517055153791241,
2022-08-01,69257,0.9938345582396003,0.4628413012403078,
2022-09-01,65777,0.9943597306049227,0.45283305714763517,
2022-10-01,75791,0.9948146877597603,0.430024673114222,
2022-11-01,77038,0.9941457462550949,0.4093174796853501,
2022-12-01,85146,0.9948558945810725,0.41297301106335,66687.08333333333
2023-01-01,93933,0.9937402190923318,0.42142803913427657,70079.08333333333
2023-02-01,86539,0.995308473636164,0.40470770404095263,72858.58333333333
2023-03-01,110635,0.9954625570569892,0.37113029330681974,76920.16666666667
2023-04-01,97084,0.996394874541634,0.3769313172098389,78990.25
2023-05-01,106211,0.9968176554217548,0.38728568604005237,82809.83333333333
2023-06-01,104425,0.9974239885084989,0.3956906870960019,86356.16666666667
2023-07-01,106773,0.9968718683562324,0.3818474708025437,89884.08333333333
2023-08-01,119711,0.9970011110090133,0.3868566798372748,94088.58333333333
2023-09-01,112887,0.9956416593584735,0.3766332704385802,98014.41666666667
2023-10-01,117420,0.9940129449838188,0.36917901549991483,101483.5
2023-11-01,113365,0.9946720769196842,0.3430864905394081,104510.75
2023-12-01,123066,0.9953195846131344,0.3319438350153576,107670.75
2024-01-01,143365,0.9954312419349214,0.30635092247061696,111790.08333333333
2024-02-01,157614,0.9959013793190961,0.3052457269024325,117713.0
2024-03-01,177815,0.9958327475184883,0.34396423248882263,123311.33333333333
2024-04-01,191120,0.9963373796567602,0.33471117622436164,131147.66666666666
2024-05-01,211961,0.9973061081991499,0.336443968465897,139960.16666666666
2024-06-01,204168,0.9978498099604247,0.3340386348497316,148272.08333333334
2024-07-01,232654,0.9975156240597626,0.31312163126359316,158762.16666666666
2024-08-01,263815,0.9973769497564581,0.2876750753368838,170770.83333333334
2024-09-01,264821,0.9975077505182746,0.2808160984211977,183432.0
2024-10-01,295878,0.9976645779679463,0.2693137036210871,198303.5
2024-11-01,287077,0.9975302793327225,0.25634585842822655,212779.5
2024-12-01,303981,0.9978419703863071,0.267533168191433,227855.75
2025-01-01,475783,0.996557254042284,0.3634787287481898,255557.25
2025-02-01,335236,0.9957940078034578,0.27582956484387117,270359.0833333333
2025-03-01,396973,0.993145629551632,0.26491474231244944,288622.25
2025-04-01,406100,0.9936567347943857,0.25851514405318887,306537.25
2025-05-01,415182,0.9945517869271789,0.25759064699336676,323472.3333333333
2025-06-01,412161,0.9947593294853225,0.2734004430307574,340805.0833333333
2025-07-01,473195,0.9957438265408552,0.265307114403153,360850.1666666667
2025-08-01,495575,0.9959905160671947,0.21968016950007566,380163.5
2025-09-01,503851,0.9966418643606939,0.1620697388712139,400082.6666666667
2025-10-01,519787,0.9968852626171875,0.14652540367496686,418741.75
2025-11-01,496658,0.9959428822247905,0.1573134833225278,436206.8333333333
2025-12-01,512476,0.9951880673436415,0.11026662712009928,453581.4166666667
